employee_id,first_name,last_name,department,job_title,hire_date,home_district,home_address,home_lat,home_lng,reported_lat,reported_lng,work_district,work_address,work_lat,work_lng,distance_home_to_work_km,address_changes_last_year,last_verified_date,address_valid,gps_location_mismatch,is_anomaly,likely_to_relocate,relocation_score
RW-EMP-00001,Vestine,Mukamana,Ministry of Health,Specialist,2022-03-17,Rusizi,"KN 165 St, Remera, Rusizi",-2.486192,28.91665,-2.484622,28.916222,Rusizi,"KG 144 St, Kibagabaga, Rusizi",-2.471843,28.905266,2.03,2,2024-09-29,1,0,0,0,0.2
RW-EMP-00002,Celestin,Gashumba,Ministry of Education,Technician,2018-09-18,Gasabo,"NR 66 St, Masaka, Gasabo",-1.898088,30.112852,-1.899275,30.112218,Gasabo,"KG 142 St, Kimironko, Gasabo",-1.89878,30.118887,0.67,0,2024-03-25,1,0,0,0,0.06
RW-EMP-00003,Amina,Tuyisenge,Rwanda National Police,Inspector,2022-05-29,Rusizi,"KG 303 St, Remera, Rusizi",-2.478381,28.92254,-2.480725,28.922576,Rusizi,"KK 123 St, Kibagabaga, Rusizi",-2.48197,28.899549,2.58,4,2024-06-14,1,0,0,0,0.34
RW-EMP-00004,Olivier,Mukamana,Ministry of Finance,Manager,2019-12-13,Kicukiro,"KK 430 St, Gikondo, Kicukiro",-1.988691,30.113079,-1.989051,30.110429,Kicukiro,"NR 202 St, Kimironko, Kicukiro",-1.995691,30.095815,2.07,2,2024-02-14,1,0,0,0,0.25
RW-EMP-00005,Chantal,Sibomana,Rwanda National Police,Teacher,2022-11-22,Gasabo,"KK 150 St, Gikondo, Gasabo",-1.881523,30.116021,-1.883848,30.113525,Gasabo,"RN 244 St, Masaka, Gasabo",-1.902927,30.116236,2.38,1,2024-08-26,1,0,0,0,0.12
RW-EMP-00006,Immaculee,Uwitonze,Ministry of Infrastructure,Specialist,2019-05-05,Kayonza,"KN 219 St, Kibagabaga, Kayonza",-1.870549,30.65105,-1.874509,30.650923,Kayonza,"KN 174 St, Kagugu, Kayonza",-1.883192,30.649897,1.41,5,2024-02-12,1,0,0,0,0.49
RW-EMP-00007,Olivier,Tuyisenge,Ministry of ICT,Teacher,2023-02-06,Musanze,"RN 71 St, Kagugu, Musanze",-1.509824,29.649027,-1.510362,29.652046,Musanze,"KN 435 St, Gisozi, Musanze",-1.500864,29.635906,1.76,1,2024-07-31,1,0,0,0,0.14
RW-EMP-00008,Solange,Ndayisaba,Ministry of Health,Accountant,2020-08-07,Musanze,"KN 74 St, Kagugu, Musanze",-1.498993,29.635028,-1.495374,29.633585,Musanze,"KK 309 St, Kibagabaga, Musanze",-1.501308,29.633143,0.33,2,2024-08-14,1,0,0,0,0.17
RW-EMP-00009,Claudine,Ndayisaba,Ministry of Infrastructure,Senior Officer,2023-01-10,Rwamagana,"KK 49 St, Gisozi, Rwamagana",-1.953788,30.448905,-1.95554,30.448203,Rwamagana,"NR 227 St, Kacyiru, Rwamagana",-1.95334,30.432102,1.87,3,2024-05-22,0,0,0,0,0.34
RW-EMP-00010,Innocent,Habyarimana,Ministry of Finance,Administrator,2021-10-29,Nyarugenge,"KN 435 St, Kibagabaga, Nyarugenge",-1.927663,30.060798,-1.92942,30.059041,Nyarugenge,"KG 17 St, Kibagabaga, Nyarugenge",-1.940663,30.061884,1.45,2,2024-09-10,1,0,0,0,0.22
RW-EMP-00011,Innocent,Sibomana,Rwanda Development Board,Specialist,2021-02-01,Kayonza,"KK 130 St, Masaka, Kayonza",-1.886133,30.640517,-1.88191,30.639123,Kayonza,"KN 282 St, Kanombe, Kayonza",-1.885183,30.641379,0.14,1,2024-11-11,1,0,0,0,0.09
RW-EMP-00012,Rodrigue,Uwimana,Ministry of Education,Inspector,2022-05-05,Muhanga,"NR 466 St, Kibagabaga, Muhanga",-2.083342,29.750432,-2.085273,29.749553,Muhanga,"KG 146 St, Gikondo, Muhanga",-2.083449,29.749398,0.12,1,2024-04-02,1,0,0,0,0.15
RW-EMP-00013,Innocent,Bizimana,Rwanda National Police,Accountant,2019-11-11,Rubavu,"NR 88 St, Gisozi, Rubavu",-1.675948,29.254135,-1.675519,29.253467,Rubavu,"KN 486 St, Gisozi, Rubavu",-1.679677,29.25729,0.54,0,2024-07-09,1,0,0,0,0.08
RW-EMP-00014,Amina,Munyakazi,Ministry of Agriculture,Administrator,2021-08-15,Rwamagana,"KG 310 St, Gikondo, Rwamagana",-1.93931,30.42447,-1.938492,30.423869,Rwamagana,"KG 10 St, Kanombe, Rwamagana",-1.950095,30.43322,1.54,1,2024-03-18,1,0,0,0,0.13
